            Australian Bureau of Statistics,Net energy use index,"GDP, Chain volume series - Index",Degree of self sufficiency,Renewable energy supply of total domestic net energy use,Share of renewable energy in net energy inputs,Government use of net domestic energy,Estimated resident population - Australia,Estimated number of households -  Australia,Energy use (Net) - per person,Energy use (Net) - per household,Gas costs - per household,Petroleum costs - per household,Electricity costs - per household,Total energy costs - per household,Energy extracted (Net) - per household,Renewable energy extracted by households,Agriculture (Energy intensity),Mining (Energy intensity),Manufacturing (Energy intensity),"Electricity, gas, water supply & waste services (E.I)",Construction (Energy intensity),Transport (Energy intensity),Commercial & Services (Energy intensity),All selected industries (Energy intensity),Black coal (Remaining resource life),Brown coal (Remaining resource life),Crude oil (Remaining resource life),Condensate (Remaining resource life),LPG (Remaining resource life),0tural gas (Remaining resource life),Uranium (remaining resource life),Black coal (Extraction rate),Brown coal (Extraction rate),Crude oil (Extraction rate),Condensate (Extraction rate),LPG (Extraction rate),0tural gas (Extraction rate),Uranium (Extraction rate)
Jun-03,100,100,307,8.5,1.7,2.6,19720737,7264723,55.7,151.3,0,0,0,0,6.3,45.9,2469.1,3127.3,8701.5,3462.5,968.3,7295.9,277,1942.5,142.3,561.2,8.4,33.6,38.2,71.9,74.1,0.7,0.2,11.9,3,2.6,1.4,1.3
Jun-04,101.3,104.1,303.8,8.3,1.6,2.6,19932722,7396137,56.6,152.6,0,0,0,0,6,44.2,2032.7,3383.3,8770.6,3826.1,924.4,7581.4,272.2,1941.9,137.8,535.7,9.9,33.6,40.3,61.9,71.7,0.7,0.2,10.1,3,2.5,1.6,1.4
Jun-05,109.6,107.4,320.5,8.2,1.5,2.5,20176844,7526410,55.8,149.7,0,0,0,0,5.7,42.7,2003.8,3300.3,9019.1,3532.7,905,7643.5,265.4,1924.4,131.2,559.7,10.8,40.8,25.1,64.4,74.6,0.8,0.2,9.3,2.4,4,1.6,1.3
Jun-06,108.1,110.4,305.9,8.2,1.6,2.5,20450966,7656969,55.7,148.7,0,0,0,0,5.4,41.2,1989.3,3388.2,9043.3,3521.6,857.1,7610.9,260.3,1892.3,128.4,558.2,10,37.3,25.6,58.2,94.1,0.8,0.2,10,2.7,3.9,1.7,1.1
Jun-07,112.6,114.6,307.7,8.1,1.5,2.5,20827622,7803641,55.1,147.1,0,0,0,0,5.6,43.5,2369.5,3277.6,9144.8,3481.4,819,7569.9,258.1,1886.5,120.8,565.2,8.4,29.7,27.5,50.1,98.7,0.8,0.2,11.9,3.4,3.6,2,1
Jun-08,115.2,118.8,311.8,7.9,1.5,2.5,21249199,7953657,54.4,145.4,0,0,0,0,5.4,42.8,2303.1,3369.4,8965.5,3413.1,794.6,7515.4,254.7,1870.3,119.9,565.2,10.3,31.9,22.6,58,127.7,0.8,0.2,9.7,3.1,4.4,1.7,0.8
Jun-09,119.2,121.1,315.4,6.6,1.2,2.5,21691653,8106022,53.2,142.5,463.6,2483.8,1176,4123.5,5.3,43,1969.8,3453,9105.3,3478.1,765,7655.7,253.3,1830,122.3,547.1,10.1,56.1,55.8,79.9,149.1,0.8,0.2,9.9,1.8,1.8,1.3,0.7
Jun-10,116,123.6,304.4,7.7,1.5,2.6,22031750,8262019,53,141.3,505.1,2374.2,1309.6,4188.9,5.4,44.6,2043.8,3292.9,9189.8,3404.8,776.5,7747.6,252.4,1823.8,116.6,553.6,10.8,44.6,47.8,71,201.8,0.9,0.2,9.3,2.2,2.1,1.4,0.5
Jun-11,114.8,126.7,293.9,7.8,1.5,2.6,22340024,8419972,53.7,142.4,576.4,2679.7,1415.1,4671.2,5.7,48.1,2065.4,3486.1,9169.6,3233.7,785,7752.3,251.4,1810.9,142.8,634.7,10,47.3,52.1,61.8,199.2,0.7,0.2,10,2.1,1.9,1.6,0.5
Jun-12,119,131.6,306.2,7.6,1.5,2.6,22733465,8576293,53.1,140.6,639.2,2770.3,1523.7,4933.3,6.1,52.5,2187.8,3519.9,9106.4,3251,735.5,7849.2,245.8,1791,162.2,662.7,10.7,53.2,51.6,62.6,169.1,0.6,0.2,9.3,1.9,1.9,1.6,0.6
Jun-13,130.2,135,334.6,8.5,1.5,2.6,23128129,8737962,52.9,139.9,722.3,2754.2,1639.4,5115.8,6.6,57.9,2332.2,3606.6,9278.3,3075.2,786,7837.5,251,1792.2,154.5,709.5,14.7,48.3,54,49,182.9,0.6,0.1,6.8,2.1,1.9,2,0.5
Jun-14,127.2,138.5,327.6,8.7,1.6,2.7,23475686,8902436,52.2,137.7,775.2,2924.5,1657.7,5357.4,6.7,59.4,2395.7,3454.8,9277.1,3075.1,787.2,7904.9,250.7,1763.6,144.4,730.6,16.1,47,46.9,52,231.8,0.7,0.1,6.2,2.1,2.1,1.9,0.4
Jun-15,132,141.5,340,8.8,1.6,2.7,23815995,9072188,52.6,138.1,820.6,2573.5,1548.7,4942.8,7.1,64.7,2274.9,3301.7,9017.8,3122.7,850.1,7815.6,245.9,1704.9,146.3,922,10.8,48.6,46.6,56.8,217.7,0.7,0.1,9.3,2.1,2.1,1.8,0.5
Jun-16,138.6,145.4,350.2,8.8,1.6,2.7,24190907,9204635,51.4,135.1,848.6,2291.2,1541.2,4681,7.3,67.1,2565.1,3658,9248,3246.4,906.4,7793.5,240.6,1730.7,159.3,1208.5,11.3,48.1,50.5,55.2,202.9,0.6,0.1,8.8,2.1,2,1.8,0.5
Jun-17,141.4,148.9,352.5,9.2,1.6,2.7,24601860,9345350,51.5,135.6,882,2303.7,1666.5,4852.3,7.6,71.4,2468.4,3643.5,8944.4,3105.7,969.9,7754.2,241.6,1690.3,178.8,1443.4,14.3,45.7,52.9,29.5,175.3,0.6,0.1,7,2.2,1.9,3.4,0.6
Jun-18,144.4,153.2,355.8,9.1,1.6,2.7,24992747,9495177,51.4,135.3,921.5,2519.9,1827.1,5268.6,8.2,77.7,2575.4,3630.6,8864.4,3060.8,956.4,7902.7,239.9,1683,202,1505.9,15.5,44.6,64.8,26.7,197.4,0.5,0.1,6.4,2.2,1.5,3.7,0.5
