"46040DO0001 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 Energy indicators, Australia, ending June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net energy use index,"GDP, Chain volume series - Index",Degree of self sufficiency,Renewable energy supply of total domestic net energy use,Share of renewable energy in net energy inputs,Government use of net domestic energy,Estimated resident population - Australia,Estimated number of households -  Australia,Energy use (Net) - per person,Energy use (Net) - per household,Gas costs - per household,Petroleum costs - per household,Electricity costs - per household,Total energy costs - per household,Energy extracted (Net) - per household,Renewable energy extracted by households,Energy intensity - Agriculture,Energy intensity - Mining,Energy intensity - Manufacturing,"Energy intensity - Electricity, gas, water supply and waste services",Energy intensity - Construction,Energy intensity - Transport,Energy intensity - Commercial & Services,Energy intensity - All selected industries,Remaining resource life - Black coal,Remaining resource life - Brown coal,Remaining resource life - Crude oil,Remaining resource life - condensate,Remaining resource life - LPG,Remaining resource life - Natural gas,Remaining resource life - Uranium,Extraction rate - Black coal,Extraction rate - Brown coal,Extraction rate - Crude oil,Extraction rate - Condensate,Extraction rate - LPG,Extraction rate - Natural gas,Extraction rate - Uranium
Unit,Index,Index,Percent,Percent,Percent,Percent,Persons,Households,GJ,GJ,$,$,$,$,GJ,GJ,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,GJ/$m IGVA,Years,Years,Years,Years,Years,Years,Years,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2009,Jun-2009,Jun-2009,Jun-2009,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003,Jun-2003
Series End,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018,Jun-2018
No. Obs,16,16,16,16,16,16,16,16,16,16,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Data Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Jun-2003,100.0,100.0,307.0,8.5,1.7,2.6,"19,720,737.0","7,264,723.0",55.7,151.3,na,na,na,na,6.3,45.9,"2,469.1","3,127.3","8,701.5","3,462.5",968.3,"7,295.9",277.0,"1,942.5",142.3,561.2,8.4,33.6,38.2,71.9,74.1,0.7,0.2,11.9,3.0,2.6,1.4,1.3
Jun-2004,101.3,104.1,303.8,8.3,1.6,2.6,"19,932,722.0","7,396,137.0",56.6,152.6,na,na,na,na,6.0,44.2,"2,032.7","3,383.3","8,770.6","3,826.1",924.4,"7,581.4",272.2,"1,941.9",137.8,535.7,9.9,33.6,40.3,61.9,71.7,0.7,0.2,10.1,3.0,2.5,1.6,1.4
Jun-2005,109.6,107.4,320.5,8.2,1.5,2.5,"20,176,844.0","7,526,410.0",55.8,149.7,na,na,na,na,5.7,42.7,"2,003.8","3,300.3","9,019.1","3,532.7",905.0,"7,643.5",265.4,"1,924.4",131.2,559.7,10.8,40.8,25.1,64.4,74.6,0.8,0.2,9.3,2.4,4.0,1.6,1.3
Jun-2006,108.1,110.4,305.9,8.2,1.6,2.5,"20,450,966.0","7,656,969.0",55.7,148.7,na,na,na,na,5.4,41.2,"1,989.3","3,388.2","9,043.3","3,521.6",857.1,"7,610.9",260.3,"1,892.3",128.4,558.2,10.0,37.3,25.6,58.2,94.1,0.8,0.2,10.0,2.7,3.9,1.7,1.1
Jun-2007,112.6,114.6,307.7,8.1,1.5,2.5,"20,827,622.0","7,803,641.0",55.1,147.1,na,na,na,na,5.6,43.5,"2,369.5","3,277.6","9,144.8","3,481.4",819.0,"7,569.9",258.1,"1,886.5",120.8,565.2,8.4,29.7,27.5,50.1,98.7,0.8,0.2,11.9,3.4,3.6,2.0,1.0
Jun-2008,115.2,118.8,311.8,7.9,1.5,2.5,"21,249,199.0","7,953,657.0",54.4,145.4,na,na,na,na,5.4,42.8,"2,303.1","3,369.4","8,965.5","3,413.1",794.6,"7,515.4",254.7,"1,870.3",119.9,565.2,10.3,31.9,22.6,58.0,127.7,0.8,0.2,9.7,3.1,4.4,1.7,0.8
Jun-2009,119.2,121.1,315.4,6.6,1.2,2.5,"21,691,653.0","8,106,022.0",53.2,142.5,463.6,"2,483.8","1,176.0","4,123.5",5.3,43.0,"1,969.8","3,453.0","9,105.3","3,478.1",765.0,"7,655.7",253.3,"1,830.0",122.3,547.1,10.1,56.1,55.8,79.9,149.1,0.8,0.2,9.9,1.8,1.8,1.3,0.7
Jun-2010,116.0,123.6,304.4,7.7,1.5,2.6,"22,031,750.0","8,262,019.0",53.0,141.3,505.1,"2,374.2","1,309.6","4,188.9",5.4,44.6,"2,043.8","3,292.9","9,189.8","3,404.8",776.5,"7,747.6",252.4,"1,823.8",116.6,553.6,10.8,44.6,47.8,71.0,201.8,0.9,0.2,9.3,2.2,2.1,1.4,0.5
Jun-2011,114.8,126.7,293.9,7.8,1.5,2.6,"22,340,024.0","8,419,972.0",53.7,142.4,576.4,"2,679.7","1,415.1","4,671.2",5.7,48.1,"2,065.4","3,486.1","9,169.6","3,233.7",785.0,"7,752.3",251.4,"1,810.9",142.8,634.7,10.0,47.3,52.1,61.8,199.2,0.7,0.2,10.0,2.1,1.9,1.6,0.5
Jun-2012,119.0,131.6,306.2,7.6,1.5,2.6,"22,733,465.0","8,576,293.0",53.1,140.6,639.2,"2,770.3","1,523.7","4,933.3",6.1,52.5,"2,187.8","3,519.9","9,106.4","3,251.0",735.5,"7,849.2",245.8,"1,791.0",162.2,662.7,10.7,53.2,51.6,62.6,169.1,0.6,0.2,9.3,1.9,1.9,1.6,0.6
Jun-2013,130.2,135.0,334.6,8.5,1.5,2.6,"23,128,129.0","8,737,962.0",52.9,139.9,722.3,"2,754.2","1,639.4","5,115.8",6.6,57.9,"2,332.2","3,606.6","9,278.3","3,075.2",786.0,"7,837.5",251.0,"1,792.2",154.5,709.5,14.7,48.3,54.0,49.0,182.9,0.6,0.1,6.8,2.1,1.9,2.0,0.5
Jun-2014,127.2,138.5,327.6,8.7,1.6,2.7,"23,475,686.0","8,902,436.0",52.2,137.7,775.2,"2,924.5","1,657.7","5,357.4",6.7,59.4,"2,395.7","3,454.8","9,277.1","3,075.1",787.2,"7,904.9",250.7,"1,763.6",144.4,730.6,16.1,47.0,46.9,52.0,231.8,0.7,0.1,6.2,2.1,2.1,1.9,0.4
Jun-2015,132.0,141.5,340.0,8.8,1.6,2.7,"23,815,995.0","9,072,188.0",52.6,138.1,820.6,"2,573.5","1,548.7","4,942.8",7.1,64.7,"2,274.9","3,301.7","9,017.8","3,122.7",850.1,"7,815.6",245.9,"1,704.9",146.3,922.0,10.8,48.6,46.6,56.8,217.7,0.7,0.1,9.3,2.1,2.1,1.8,0.5
Jun-2016,138.6,145.4,350.2,8.8,1.6,2.7,"24,190,907.0","9,204,635.0",51.4,135.1,848.6,"2,291.2","1,541.2","4,681.0",7.3,67.1,"2,565.1","3,658.0","9,248.0","3,246.4",906.4,"7,793.5",240.6,"1,730.7",159.3,"1,208.5",11.3,48.1,50.5,55.2,202.9,0.6,0.1,8.8,2.1,2.0,1.8,0.5
Jun-2017,141.4,148.9,352.5,9.2,1.6,2.7,"24,601,860.0","9,345,350.0",51.5,135.6,882.0,"2,303.7","1,666.5","4,852.3",7.6,71.4,"2,468.4","3,643.5","8,944.4","3,105.7",969.9,"7,754.2",241.6,"1,690.3",178.8,"1,443.4",14.3,45.7,52.9,29.5,175.3,0.6,0.1,7.0,2.2,1.9,3.4,0.6
Jun-2018,144.4,153.2,355.8,9.1,1.6,2.7,"24,992,747.0","9,495,177.0",51.4,135.3,921.5,"2,519.9","1,827.1","5,268.6",8.2,77.7,"2,575.4","3,630.6","8,864.4","3,060.8",956.4,"7,902.7",239.9,"1,683.0",202.0,"1,505.9",15.5,44.6,64.8,26.7,197.4,0.5,0.1,6.4,2.2,1.5,3.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Â© Commonwealth of Australia 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
